pseudo	target_pseudo	common_tweet	common_ngram
JANVIERClaude1	Alicesweatdream	10	120
JanvierGeorgia	Alicesweatdream	10	120
JBaht	Alicesweatdream	10	120
jeannick_odier	Alicesweatdream	10	120
jeanpaulalain	Alicesweatdream	10	120
JJKer3	badiramour	10	118
JJKer3	LevyLoiseau	10	147
josEphhello34	Planetes360	10	148
jsp1963	badiramour	10	129
jsp1963	conspjustice	10	143
jsp1963	laizet2	10	228
KabeAzem	Alicesweatdream	10	120
Kamalstar1979	Alicesweatdream	10	120
KESTUDIDOUDOU	Alicesweatdream	10	120
Krieger66362259	Alicesweatdream	10	120
laizet2	Alicesweatdream	10	120
laizet2	Barberis888	10	170
laizet2	jsp1963	10	228
Langoisse4	Alicesweatdream	10	120
lavenircnous	Alicesweatdream	10	120
LevyLoiseau	IOANIDIS1	10	164
LevyLoiseau	JJKer3	10	147
LevyLoiseau	ZayUma	10	191
loindevant	steffvenere	10	126
lucydix_t	Alicesweatdream	10	120
majormedben	Alicesweatdream	10	120
marielenbenede	Alicesweatdream	10	120
MARTELCharles13	Alicesweatdream	10	120
MARTELCharles13	conspjustice	10	214
MERLINCLUBHOUSE	Alicesweatdream	10	120
MMair13	Alicesweatdream	10	120
NazratatReig06	Alicesweatdream	10	120
ouiza8	Alicesweatdream	10	120
Pacharlotte3	Alicesweatdream	10	120
pedromido67	badiramour	10	118
perlenacre2	Alicesweatdream	10	120
PierreAFontaine	Alicesweatdream	10	120
Planetes360	josEphhello34	10	148
Planetes360	tradefutur	10	150
Rakiko_Hime	Alicesweatdream	10	120
Rakiko_Hime	IOANIDIS1	10	168
Rakiko_Hime	tambour2003	10	165
RaldaEsmee	Alicesweatdream	10	120
RegisFaguelin	Alicesweatdream	10	120
republiqhein	IrishCo82996599	10	160
reseau_internat	Alicesweatdream	10	120
RhoddeNathalie	Alicesweatdream	10	120
RosaU07994539	Alicesweatdream	10	120
rotciv1003	Alicesweatdream	10	120
steffvenere	Alicesweatdream	10	110
steffvenere	badiramour	10	118
steffvenere	loindevant	10	126
sunuker_com	Alicesweatdream	10	120
tambour2003	Rakiko_Hime	10	165
Thaghost33	Alicesweatdream	10	120
theoditalia	Alicesweatdream	10	120
TiensTiens8	Alicesweatdream	10	120
tradefutur	Planetes360	10	150
trinacrie	Alicesweatdream	10	120
Uston76	Alicesweatdream	10	120
veroni	Alicesweatdream	10	120
VeroniqueBlan20	Alicesweatdream	10	120
vivavalval	Alicesweatdream	10	120
yannick_stopyra	Alicesweatdream	10	120
YvesPDB	Alicesweatdream	10	120
ZayUma	LevyLoiseau	10	191
andreaventura01	conspjustice	9	137
AubeDigitale	Barberis888	9	132
babibelle33	conspjustice	9	155
babibelle33	thalassa2008	9	175
badiramour	BaufMalou	9	107
badiramour	daventure1	9	143
badiramour	Expansion69	9	111
badiramour	fabiennelabarou	9	117
badiramour	fulberti_laving	9	143
badiramour	Hellam12	9	143
Barberis888	AubeDigitale	9	132
Barberis888	Danygo97	9	123
Barberis888	Kamalstar1979	9	149
Barberis888	NazratatReig06	9	112
Barberis888	Nova153	9	132
Barberis888	oceanguinee	9	123
Barberis888	steffvenere	9	122
BaufMalou	badiramour	9	107
belindageoly	laizet2	9	160
brunornc1	Planetes360	9	135
carcajou76865	laizet2	9	122
carcajou76865	LevyLoiseau	9	129
conspjustice	andreaventura01	9	137
conspjustice	babibelle33	9	155
conspjustice	DrunkpaMaster	9	134
conspjustice	Kamalstar1979	9	155
conspjustice	RhoddeNathalie	9	143
conspjustice	schopges	9	149
conspjustice	sunuker_com	9	130
Danygo97	Barberis888	9	123
daventure1	badiramour	9	143
DrunkpaMaster	conspjustice	9	134
Expansion69	badiramour	9	111
fabiennelabarou	badiramour	9	117
fulberti_laving	badiramour	9	143
Hellam12	badiramour	9	143
jsp1963	LevyLoiseau	9	156
Kamalstar1979	Barberis888	9	149
Kamalstar1979	conspjustice	9	155
Kamalstar1979	reseau_internat	9	176
Kernunnos	Rakiko_Hime	9	145
laizet2	belindageoly	9	160
laizet2	carcajou76865	9	122
LevyLoiseau	carcajou76865	9	129
LevyLoiseau	jsp1963	9	156
marielenbenede	RegisFaguelin	9	254
MARTELCharles13	RegisFaguelin	9	256
NazratatReig06	Barberis888	9	112
NazratatReig06	TDvir	9	99
NazratatReig06	tonnerre2021	9	99
Nova153	Barberis888	9	132
Nova153	Padraig41311678	9	165
oceanguinee	Barberis888	9	123
Padraig41311678	Nova153	9	165
Planetes360	brunornc1	9	135
Rakiko_Hime	Kernunnos	9	145
RegisFaguelin	marielenbenede	9	254
RegisFaguelin	MARTELCharles13	9	256
reseau_internat	Kamalstar1979	9	176
RhoddeNathalie	conspjustice	9	143
schopges	conspjustice	9	149
steffvenere	Barberis888	9	122
sunuker_com	conspjustice	9	130
tambour2003	Thaghost33	9	117
TDvir	NazratatReig06	9	99
TDvir	tonnerre2021	9	99
Thaghost33	tambour2003	9	117
thalassa2008	babibelle33	9	175
tonnerre2021	NazratatReig06	9	99
tonnerre2021	TDvir	9	99
ADuferret	Planetes360	8	116
andreaventura01	badiramour	8	90
anne_terrade	Barberis888	8	112
anounaky	chauvieremianne	8	111
Artanagot	Overgam10544834	8	159
AubeDigitale	Padraig41311678	8	148
AxiomeC	Barberis888	8	112
BABOUSKA31	badiramour	8	122
badiramour	andreaventura01	8	90
badiramour	BABOUSKA31	8	122
badiramour	BILLYHe95718937	8	96
badiramour	bonjoviss1	8	122
badiramour	ClaudeJullian	8	122
badiramour	cloclo2539	8	122
badiramour	DanielleThurel	8	122
badiramour	DemeulenaereO	8	90
badiramour	DeMolay82619496	8	106
badiramour	DESCLOUX3	8	122
badiramour	ElisabethFaure1	8	122
badiramour	ELLETW6	8	106
badiramour	EROL_MVP	8	122
badiramour	FilRouge06	8	90
badiramour	Fn92Chatillon	8	90
badiramour	Fpapadopoulos14	8	106
badiramour	GaryKronos	8	90
badiramour	GaumondJean	8	122
badiramour	gouslisty	8	122
badiramour	ISA86526407	8	122
badiramour	jacquel11956817	8	106
badiramour	JocelyneLC2	8	106
badiramour	kha_zeli	8	122
badiramour	Laetiti96067083	8	106
badiramour	LfiOupps	8	122
badiramour	LostecMarceline	8	122
badiramour	LouisRissons	8	90
badiramour	LuckyLu32431232	8	90
badiramour	minimoog18	8	122
badiramour	NickyB2309	8	106
badiramour	nymeria60	8	90
badiramour	oiseaubleudefeu	8	122
badiramour	Patrick58916424	8	106
badiramour	PenseJean	8	106
badiramour	Price35025409	8	122
badiramour	q_rosema	8	106
badiramour	Rakiko_Hime	8	90
badiramour	RevolVibratoire	8	90
badiramour	SauraDominique	8	122
badiramour	serge_ndestroy	8	112
badiramour	t1blanc	8	90
badiramour	TatianaKidsy	8	106
badiramour	tipoy971	8	122
badiramour	Tortuegeniale64	8	122
badiramour	veritebeaute	8	106
Barberis888	anne_terrade	8	112
Barberis888	AxiomeC	8	112
Barberis888	BilalAlGharib1	8	112
Barberis888	carcajou76865	8	109
Barberis888	jabouvier	8	112
Barberis888	Krieger66362259	8	149
Barberis888	LaurenceDeshay8	8	112
Barberis888	mayasdolly	8	96
Barberis888	paxipax_heleane	8	112
Barberis888	RVillemomble	8	112
BilalAlGharib1	Barberis888	8	112
BILLYHe95718937	badiramour	8	96
bonjoviss1	badiramour	8	122
carcajou76865	Barberis888	8	109
chauvieremianne	anounaky	8	111
ClaudeJullian	badiramour	8	122
cloclo2539	badiramour	8	122
CogiitoCom	philippejandrok	8	155
conspjustice	Disciple2Dieu	8	121
conspjustice	herve_ferrant	8	122
conspjustice	JahardF	8	118
conspjustice	louisjulia220	8	88
conspjustice	MouslimAli	8	138
conspjustice	Pacharlotte3	8	124
conspjustice	Planetes360	8	116
conspjustice	RegisFaguelin	8	154
conspjustice	reseau_internat	8	140
conspjustice	thalassa2008	8	158
DAmatoArmelle	ExoPortail	8	140
DAmatoArmelle	josEphhello34	8	149
DAmatoArmelle	RetourMarina	8	118
DanielleThurel	badiramour	8	122
DemeulenaereO	badiramour	8	90
DeMolay82619496	badiramour	8	106
DESCLOUX3	badiramour	8	122
Disciple2Dieu	conspjustice	8	121
ElisabethFaure1	badiramour	8	122
ELLETW6	badiramour	8	106
EricFouque	smoossth	8	96
EricFouque	Synsei1	8	192
EROL_MVP	badiramour	8	122
ExoPortail	DAmatoArmelle	8	140
FilRouge06	badiramour	8	90
Fn92Chatillon	badiramour	8	90
Fpapadopoulos14	badiramour	8	106
FranceRsistanc1	Jdd_MOUTSINGA	8	150
FranceRsistanc1	laizet2	8	124
g_beauregard51	Overgam10544834	8	159
garogogos	PerezArturo3	8	188
GaryKronos	badiramour	8	90
GaumondJean	badiramour	8	122
gouslisty	badiramour	8	122
HarviRevest	Overgam10544834	8	143
Hellam12	MonzMouyasmous	8	88
herve_ferrant	conspjustice	8	122
herve_ferrant	Planetes360	8	116
HerveHva13	Overgam10544834	8	159
icvfinance	Planetes360	8	116
ISA86526407	badiramour	8	122
Jab52201002	smoossth	8	96
Jab52201002	Synsei1	8	202
jabouvier	Barberis888	8	112
jacquel11956817	badiramour	8	106
JahardF	conspjustice	8	118
janyabadi	Planetes360	8	116
Jdd_MOUTSINGA	FranceRsistanc1	8	150
Jdd_MOUTSINGA	LevyLoiseau	8	140
jmlibessart62	PierreAFontaine	8	128
jmlibessart62	tambour2003	8	178
JocelyneLC2	badiramour	8	106
josEphhello34	DAmatoArmelle	8	149
jsp1963	Overgam10544834	8	159
jsp1963	xelibris	8	176
Kamalstar1979	LevyLoiseau	8	156
kha_zeli	badiramour	8	122
Krieger66362259	Barberis888	8	149
Krieger66362259	laizet2	8	133
Laetiti96067083	badiramour	8	106
laizet2	FranceRsistanc1	8	124
laizet2	Krieger66362259	8	133
laizet2	LuckyLu32431232	8	133
LandelleDavid	smoossth	8	96
LandelleDavid	Synsei1	8	200
languillem	Planetes360	8	120
LaurenceDeshay8	Barberis888	8	112
LevyLoiseau	Jdd_MOUTSINGA	8	140
LevyLoiseau	Kamalstar1979	8	156
LevyLoiseau	MarieJoseVidal1	8	168
LevyLoiseau	steffvenere	8	161
LfiOupps	badiramour	8	122
libertemaloya	Overgam10544834	8	159
Limportant_fr	mustread_fr	8	157
loindevant	MouslimAli	8	95
LostecMarceline	badiramour	8	122
louisjulia220	conspjustice	8	88
LouisRissons	badiramour	8	90
loupcruel	Planetes360	8	124
LuckyLu32431232	badiramour	8	90
LuckyLu32431232	laizet2	8	133
maitreyarael	Planetes360	8	116
MarieJoseVidal1	LevyLoiseau	8	168
mayasdolly	Barberis888	8	96
MCFanjas	smoossth	8	96
MCFanjas	Synsei1	8	211
millavart	Planetes360	8	116
minimoog18	badiramour	8	122
MonzMouyasmous	Hellam12	8	88
MouslimAli	conspjustice	8	138
MouslimAli	loindevant	8	95
mustread_fr	Limportant_fr	8	157
NickyB2309	badiramour	8	106
nononui	Overgam10544834	8	159
nymeria60	badiramour	8	90
oiseaubleudefeu	badiramour	8	122
Othman28800	Planetes360	8	116
Overgam10544834	Artanagot	8	159
Overgam10544834	g_beauregard51	8	159
Overgam10544834	HarviRevest	8	143
Overgam10544834	HerveHva13	8	159
Overgam10544834	jsp1963	8	159
Overgam10544834	libertemaloya	8	159
Overgam10544834	nononui	8	159
Overgam10544834	stopmensonges	8	127
Pacharlotte3	conspjustice	8	124
Padraig41311678	AubeDigitale	8	148
Patrick58916424	badiramour	8	106
paxipax_heleane	Barberis888	8	112
PenseJean	badiramour	8	106
PerezArturo3	garogogos	8	188
philippejandrok	CogiitoCom	8	155
PierreAFontaine	jmlibessart62	8	128
Planetes360	ADuferret	8	116
Planetes360	conspjustice	8	116
Planetes360	herve_ferrant	8	116
Planetes360	icvfinance	8	116
Planetes360	janyabadi	8	116
Planetes360	languillem	8	120
Planetes360	loupcruel	8	124
Planetes360	maitreyarael	8	116
Planetes360	millavart	8	116
Planetes360	Othman28800	8	116
Price35025409	badiramour	8	122
q_rosema	badiramour	8	106
Rakiko_Hime	badiramour	8	90
Reacdirect	schopges	8	131
RegisFaguelin	conspjustice	8	154
reseau_internat	conspjustice	8	140
RetourMarina	DAmatoArmelle	8	118
RevolVibratoire	badiramour	8	90
RVillemomble	Barberis888	8	112
SauraDominique	badiramour	8	122
schopges	Reacdirect	8	131
serge_ndestroy	badiramour	8	112
smoossth	EricFouque	8	96
smoossth	Jab52201002	8	96
smoossth	LandelleDavid	8	96
smoossth	MCFanjas	8	96
steffvenere	LevyLoiseau	8	161
stopmensonges	Overgam10544834	8	127
Synsei1	EricFouque	8	192
Synsei1	Jab52201002	8	202
Synsei1	LandelleDavid	8	200
Synsei1	MCFanjas	8	211
t1blanc	badiramour	8	90
tambour2003	jmlibessart62	8	178
TatianaKidsy	badiramour	8	106
thalassa2008	conspjustice	8	158
tipoy971	badiramour	8	122
Tortuegeniale64	badiramour	8	122
veritebeaute	badiramour	8	106
xelibris	jsp1963	8	176
57flibustier57	vorgeat	7	77
AbourayanBE	leJDD	7	98
ADuferret	leJDD	7	84
andreaventura01	jsp1963	7	165
AnguilleSR	LevyLoiseau	7	103
Annassiri2	leJDD	7	91
AnneGenestier	badiramour	7	115
anounaky	BRivarel	7	100
ArianeWalter	conspjustice	7	108
babibelle33	cherielle100	7	102
babibelle33	jsp1963	7	101
babibelle33	Kamalstar1979	7	122
babibelle33	nixiane	7	120
badiramour	AnneGenestier	7	115
badiramour	CharlieColas6	7	115
badiramour	corsair31900	7	102
badiramour	JosVasDen	7	99
badiramour	NattQui	7	137
badiramour	Peronelle1	7	102
Barberis888	belindageoly	7	119
Barberis888	DespaigneElyane	7	107
Barberis888	IOANIDIS1	7	112
belindageoly	Barberis888	7	119
BRivarel	anounaky	7	100
brunornc1	josEphhello34	7	102
carcajou76865	conspjustice	7	98
CharlieColas6	badiramour	7	115
Cheikh_Redac	leJDD	7	77
cherielle100	babibelle33	7	102
cherielle100	jsp1963	7	138
cherielle100	thalassa2008	7	81
chrisfrayt	conspjustice	7	116
conspjustice	ArianeWalter	7	108
conspjustice	carcajou76865	7	98
conspjustice	chrisfrayt	7	116
conspjustice	DanielleThurel	7	119
conspjustice	DespaigneElyane	7	105
conspjustice	didiergildas	7	119
conspjustice	ecureuil1065	7	119
conspjustice	ElisabethFaure1	7	98
conspjustice	eustache_luigy	7	108
conspjustice	HerveHva13	7	86
conspjustice	languillem	7	122
conspjustice	lavenircnous	7	106
conspjustice	loindevant	7	94
conspjustice	nononui	7	96
conspjustice	steffvenere	7	90
conspjustice	trinacrie	7	105
conspjustice	YvesPDB	7	98
cor_yas	leJDD	7	98
corsair31900	badiramour	7	102
Crumpemag	FR24NewsFrance	7	84
Cuisinefranais1	leJDD	7	84
DAmatoArmelle	mcdsp1968	7	126
DanielleThurel	conspjustice	7	119
daventure1	LevyLoiseau	7	145
daventure1	loindevant	7	111
DespaigneElyane	Barberis888	7	107
DespaigneElyane	conspjustice	7	105
didiergildas	conspjustice	7	119
dom2419	leJDD	7	91
DOMINIQUEJAMAIS	Planetes360	7	99
ecureuil1065	conspjustice	7	119
edira2	Thaghost33	7	93
ekm_thgil	leJDD	7	98
ElisabethFaure1	conspjustice	7	98
eustache_luigy	conspjustice	7	108
FaridSiMoussa1	leJDD	7	77
FR24NewsFrance	Crumpemag	7	84
FranceRsistanc1	jsp1963	7	124
FranceRsistanc1	leJDD	7	84
FranceRsistanc1	Reacdirect	7	153
FX_Obrador	leJDD	7	77
g_beauregard51	jsp1963	7	183
HaimBens	leJDD	7	77
HerveHva13	conspjustice	7	86
IOANIDIS1	Barberis888	7	112
ivanberaud	leJDD	7	98
JacquyLenoir	leJDD	7	98
JeanMarc312	leJDD	7	98
jig_saws	leJDD	7	77
jmclavel	leJDD	7	98
jmlibessart62	Kernunnos	7	183
josEphhello34	brunornc1	7	102
JosVasDen	badiramour	7	99
jsp1963	andreaventura01	7	165
jsp1963	babibelle33	7	101
jsp1963	cherielle100	7	138
jsp1963	FranceRsistanc1	7	124
jsp1963	g_beauregard51	7	183
jsp1963	loindevant	7	153
jsp1963	Rakiko_Hime	7	126
jsp1963	resonanzen	7	116
jsp1963	thalassa2008	7	90
Kamalstar1979	babibelle33	7	122
Kamalstar1979	thalassa2008	7	141
Kernunnos	jmlibessart62	7	183
Kernunnos	tambour2003	7	119
Kernunnos	thalassa2008	7	146
laferriere_eric	leJDD	7	98
laizet2	leblogALupus	7	188
laizet2	PauldeMaisonneu	7	126
laizet2	popoche69008	7	128
laizet2	reseau_internat	7	127
languillem	conspjustice	7	122
languillem	Rakiko_Hime	7	126
lautard65	leJDD	7	98
lavenircnous	conspjustice	7	106
le_roanne	Rakiko_Hime	7	143
leblogALupus	laizet2	7	188
leJDD	AbourayanBE	7	98
leJDD	ADuferret	7	84
leJDD	Annassiri2	7	91
leJDD	Cheikh_Redac	7	77
leJDD	cor_yas	7	98
leJDD	Cuisinefranais1	7	84
leJDD	dom2419	7	91
leJDD	ekm_thgil	7	98
leJDD	FaridSiMoussa1	7	77
leJDD	FranceRsistanc1	7	84
leJDD	FX_Obrador	7	77
leJDD	HaimBens	7	77
leJDD	ivanberaud	7	98
leJDD	JacquyLenoir	7	98
leJDD	JeanMarc312	7	98
leJDD	jig_saws	7	77
leJDD	jmclavel	7	98
leJDD	laferriere_eric	7	98
leJDD	lautard65	7	98
leJDD	LiNkTaReum	7	77
leJDD	lolaweb71	7	77
leJDD	MarieRose42	7	98
leJDD	Mauvaisefoi5	7	84
leJDD	merwan69947610	7	98
leJDD	methodeplus1	7	77
leJDD	MJMedia_Mktg	7	77
leJDD	NEONEO36174646	7	77
leJDD	RosedeSaron7	7	98
leJDD	valahianss	7	98
leJDD	Vergnaud	7	77
leJDD	veve_gr	7	112
LevyLoiseau	AnguilleSR	7	103
LevyLoiseau	daventure1	7	145
LevyLoiseau	pedromido67	7	120
LevyLoiseau	thalassa2008	7	159
LevyLoiseau	threadreaderapp	7	108
LiNkTaReum	leJDD	7	77
loindevant	conspjustice	7	94
loindevant	daventure1	7	111
loindevant	jsp1963	7	153
loindevant	Rakiko_Hime	7	122
lolaweb71	leJDD	7	77
MarieRose42	leJDD	7	98
MARTELCharles13	Rakiko_Hime	7	180
Mauvaisefoi5	leJDD	7	84
mcdsp1968	DAmatoArmelle	7	126
merwan69947610	leJDD	7	98
methodeplus1	leJDD	7	77
MJMedia_Mktg	leJDD	7	77
MK66000	Overgam10544834	7	77
NattQui	badiramour	7	137
NEONEO36174646	leJDD	7	77
nixiane	babibelle33	7	120
nononui	conspjustice	7	96
Overgam10544834	MK66000	7	77
Patrice_0311	Rakiko_Hime	7	108
Patrice_0311	tambour2003	7	106
PauldeMaisonneu	laizet2	7	126
pedromido67	LevyLoiseau	7	120
Peronelle1	badiramour	7	102
Planetes360	DOMINIQUEJAMAIS	7	99
popoche69008	laizet2	7	128
pouvoirmondial	vorgeat	7	77
Rakiko_Hime	jsp1963	7	126
Rakiko_Hime	languillem	7	126
Rakiko_Hime	le_roanne	7	143
Rakiko_Hime	loindevant	7	122
Rakiko_Hime	MARTELCharles13	7	180
Rakiko_Hime	Patrice_0311	7	108
Rakiko_Hime	Reacdirect	7	166
Rakiko_Hime	schopges	7	173
Reacdirect	FranceRsistanc1	7	153
Reacdirect	Rakiko_Hime	7	166
Reacdirect	thalassa2008	7	128
reseau_internat	laizet2	7	127
resonanzen	jsp1963	7	116
RosedeSaron7	leJDD	7	98
schopges	Rakiko_Hime	7	173
Spirite21	vorgeat	7	77
steffvenere	conspjustice	7	90
tambour2003	Kernunnos	7	119
tambour2003	Patrice_0311	7	106
Thaghost33	edira2	7	93
thalassa2008	cherielle100	7	81
thalassa2008	jsp1963	7	90
thalassa2008	Kamalstar1979	7	141
thalassa2008	Kernunnos	7	146
thalassa2008	LevyLoiseau	7	159
thalassa2008	Reacdirect	7	128
threadreaderapp	LevyLoiseau	7	108
trinacrie	conspjustice	7	105
valahianss	leJDD	7	98
Vergnaud	leJDD	7	77
veve_gr	leJDD	7	112
vorgeat	57flibustier57	7	77
vorgeat	pouvoirmondial	7	77
vorgeat	Spirite21	7	77
YvesPDB	conspjustice	7	98
0Vasil	bou_philippe	6	66
AbbeToniere	conspjustice	6	94
ACcilia4	conspjustice	6	94
AdrRv	conspjustice	6	84
ADuferret	Krieger66362259	6	105
AimarreJan	GeneviveCaron18	6	93
AkDruCap	babibelle33	6	102
AkDruCap	thalassa2008	6	114
akina_schira	Quisuisje13	6	72
Aladerecha5	guyboulianne	6	120
alexxi74	conspjustice	6	71
alexxi74	jsp1963	6	138
alixmarielle	conspjustice	6	78
AMaddy2	conspjustice	6	94
Ancient_Caxotte	jsp1963	6	148
Ancient_Caxotte	leblogALupus	6	159
AnneIbiza13	Barberis888	6	92
AnnePFLEGER	conspjustice	6	94
anounaky	Franois592	6	86
AubeDigitale	oceanguinee	6	102
aux_frontieres	Barberis888	6	92
aysegul_koker	conspjustice	6	94
babibelle33	AkDruCap	6	102
babibelle33	Barberis888	6	107
babibelle33	belindageoly	6	86
babibelle33	Gowron_Khar	6	82
babibelle33	JesseCRAIGNOU	6	104
babibelle33	JoelGelanor	6	99
babibelle33	leblogALupus	6	86
babibelle33	MouslimAli	6	122
babibelle33	Planete72	6	122
babibelle33	Reacdirect	6	104
babibelle33	TwittL12	6	118
Barberis888	AnneIbiza13	6	92
Barberis888	aux_frontieres	6	92
Barberis888	babibelle33	6	107
Barberis888	ecureuil1065	6	95
Barberis888	fulberti_laving	6	79
Barberis888	GrobisR	6	86
Barberis888	jeannick_odier	6	126
Barberis888	jsp1963	6	107
Barberis888	kittylt	6	108
Barberis888	orphee45	6	88
Barberis888	ouiza8	6	82
Barberis888	PERLOU55	6	84
Barberis888	sunuker_com	6	88
Barberis888	TDvir	6	66
Barberis888	tonnerre2021	6	66
Bassinrebel	conspjustice	6	94
belindageoly	babibelle33	6	86
belindageoly	MouslimAli	6	77
belindageoly	nixiane	6	80
belindageoly	popoche69008	6	108
belindageoly	reseau_internat	6	95
belindageoly	thalassa2008	6	66
bou_philippe	0Vasil	6	66
bou_philippe	eksansk	6	66
bou_philippe	schopges	6	66
Bruno_Level	conspjustice	6	94
brunornc1	CarlAntoine	6	90
BusinessBourse	Planetes360	6	92
carcajou76865	sunuker_com	6	91
CarlAntoine	brunornc1	6	90
Carojacob2	conspjustice	6	84
carou68	conspjustice	6	94
CartierusM	jacob_chariaty	6	78
chauvieremianne	LevyLoiseau	6	113
cherielle100	jmlibessart62	6	168
cherielle100	loindevant	6	94
cherielle100	nixiane	6	80
cherifo62	conspjustice	6	94
ClaudeN02816114	jmlibessart62	6	168
ClocloQuebec4	guyboulianne	6	120
CogiitoCom	marielenbenede	6	158
CogiitoCom	MARTELCharles13	6	165
conspjustice	AbbeToniere	6	94
conspjustice	ACcilia4	6	94
conspjustice	AdrRv	6	84
conspjustice	alexxi74	6	71
conspjustice	alixmarielle	6	78
conspjustice	AMaddy2	6	94
conspjustice	AnnePFLEGER	6	94
conspjustice	aysegul_koker	6	94
